,index,mean,std
0,20000.0,5374.4,3952.2883801666094
1,60000.0,4849.6,2976.082532457727
2,100000.0,4219.4,1640.4945108106886
3,140000.0,6665.7,3122.6365798792535
4,180000.0,4121.2,1638.5002776929882
5,220000.0,4418.2,1612.5353205433983
6,260000.0,7018.8,3577.5275484613676
7,300000.0,2798.2,549.1223543073073
8,340000.0,3776.5,1529.2346615218999
9,380000.0,5384.7,3564.0103549232285
10,420000.0,4612.2,2703.9005085246754
11,460000.0,3361.1,1847.691069957313
12,500000.0,3499.5,1748.621299767334
13,540000.0,2781.9,1504.8998272310353
14,580000.0,3395.9,1597.3495829028784
15,620000.0,4416.6,3688.026442421475
16,660000.0,3647.9,2219.3335238309724
17,700000.0,3915.1,1353.416155511674
18,740000.0,5867.6,3158.4912284190373
19,780000.0,4207.9,1516.3911401745922
20,820000.0,4095.0,2002.9876684592944
21,860000.0,3584.4,2660.7986470231076
22,900000.0,4195.4,1685.9310306178008
23,940000.0,3344.8,1614.3449321628882
24,980000.0,4001.0,1364.7010661679722
25,1020000.0,3575.9,1902.3840542855694
26,1060000.0,4095.1,1216.8124300811528
27,1100000.0,4217.8,1987.3047476418908
28,1140000.0,6244.8,4950.353013674883
29,1180000.0,2708.9,1343.0703220606135
30,1220000.0,4075.9,883.1071792257155
31,1260000.0,4389.3,1577.5357396902295
32,1300000.0,4252.8,2213.8266327786373
33,1340000.0,3121.0,1284.3996262845922
34,1380000.0,3669.4,1870.1573302799954
35,1420000.0,3955.4,1781.7089100074684
36,1460000.0,4071.3,1580.8378822637064
37,1500000.0,4272.5,2279.9140882936795
38,1540000.0,5637.0,2027.6144110752418
39,1580000.0,5497.4,1234.3749187341746
40,1620000.0,3381.6,1749.1903384137472
41,1660000.0,3305.0,1243.391732319304
42,1700000.0,4435.0,2354.076464348599
43,1740000.0,3800.3,2505.054731937009
44,1780000.0,4250.0,2533.2056766081982
45,1820000.0,3380.3,1758.689344369835
46,1860000.0,3981.3,2696.4265259784106
47,1900000.0,6544.9,2772.435407723686
48,1940000.0,3593.1,2141.3939595506477
49,1980000.0,5972.6,1807.2124501563173
50,2020000.0,2721.2,1203.1694643731614
51,2060000.0,3645.5,2463.3941726812623
52,2100000.0,2529.3,1639.1424617768891
53,2140000.0,1918.5,834.4896943641666
54,2180000.0,2234.7,800.5105933090455
55,2220000.0,2667.5,1230.252189593662
56,2260000.0,1047.4,512.1012009359088
57,2300000.0,2470.8,1528.733384210602
58,2340000.0,1992.3,708.8949216915015
59,2380000.0,2541.0,1023.3006400857961
60,2420000.0,2627.4,1369.098184937808
61,2460000.0,2273.8,1117.5668033723978
62,2500000.0,2309.3,1509.8850320471422
63,2540000.0,1790.1,926.7026977407587
64,2580000.0,2302.3,761.822295551922
65,2620000.0,2530.3,951.0271342080624
66,2660000.0,3274.0,2286.6907093002324
67,2700000.0,3015.6,960.504575730902
68,2740000.0,2573.0,1761.8822321596867
69,2780000.0,3069.2,2348.1686395998054
70,2820000.0,2399.8,718.4615229780924
71,2860000.0,3887.0,2194.690183146587
72,2900000.0,3304.8,1902.4793717672737
73,2940000.0,1791.4,845.0098460964819
74,2980000.0,4280.2,1409.5897133563367
75,3020000.0,3963.1,2951.347639638543
76,3060000.0,2370.1,679.6955862737377
77,3100000.0,4390.8,2159.7249732315454
78,3140000.0,3182.1,1148.4335810137216
79,3180000.0,2615.7,1676.8180610907075
80,3220000.0,2356.7,1114.7451771593362
81,3260000.0,2516.8,1567.0945600058728
82,3300000.0,3259.0,1590.109304419039
83,3340000.0,3000.2,1266.695211959057
84,3380000.0,2268.8,987.8523978813839
85,3420000.0,3410.8,1599.763970090588
86,3460000.0,2880.2,2134.676921690962
87,3500000.0,2521.8,1042.8138664210408
88,3540000.0,3672.8,2166.167989792112
89,3580000.0,3546.8,1330.149149531736
90,3620000.0,3329.5,1425.009140321563
91,3660000.0,4506.1,3870.175511523993
92,3700000.0,3161.6,817.9794862953472
93,3740000.0,1630.1,1082.6494769776598
94,3780000.0,4653.6,1444.5243646266408
95,3820000.0,4321.7,1556.6573836268533
96,3860000.0,3176.1,1226.0000367047303
97,3900000.0,4134.6,1429.5437873671447
98,3940000.0,3286.8,1252.2448482625114
99,3980000.0,1925.3,1115.300322783061
100,4020000.0,5085.0,2418.0027708834414
101,4060000.0,3454.5,1610.4901272594007
102,4100000.0,4627.5,3943.6868346764045
103,4140000.0,5014.3,2007.9637471827025
104,4180000.0,2487.8,1139.035627186437
105,4220000.0,3936.5,1801.3216397967356
106,4260000.0,3905.5,1438.5374690983895
107,4300000.0,4104.6,1436.3921609365595
108,4340000.0,3289.2,1926.4651982322441
109,4380000.0,3025.4,1158.1056255799815
110,4420000.0,3064.0,1064.8318177064396
111,4460000.0,3172.6,1246.8048925152643
112,4500000.0,3510.4,1494.453826653738
113,4540000.0,4624.1,3078.751384896156
114,4580000.0,4833.8,2966.225675837899
115,4620000.0,3943.8,1321.787259735847
116,4660000.0,5264.1,1870.6603887397628
117,4700000.0,7353.1,3306.4246687320733
118,4740000.0,4130.3,2222.0419460487237
119,4780000.0,2847.1,2168.5547468302475
120,4820000.0,2367.3,2051.1284723293174
121,4860000.0,2687.8,1493.2100187180638
122,4900000.0,6139.4,2581.1461485161976
123,4940000.0,3021.8,1031.5104265105613
124,4980000.0,2807.6,1111.9272638082043
